File;Computation Value
run_67.out;0.005234
run_4.out;0.005223
run_12.out;0.005257
run_20.out;0.005535
run_25.out;0.005275
run_50.out;0.004605
run_78.out;0.005203
run_85.out;0.005248
run_79.out;0.004594
run_66.out;0.005563
run_21.out;0.005222
run_86.out;0.005237
run_87.out;0.005213
run_91.out;0.005228
run_16.out;0.005249
run_90.out;0.004635
run_22.out;0.005236
run_37.out;0.005221
run_18.out;0.005216
run_65.out;0.005217
run_76.out;0.005235
run_54.out;0.005198
run_72.out;0.005564
run_99.out;0.005223
run_47.out;0.004645
run_57.out;0.005222
run_96.out;0.004629
run_98.out;0.005225
run_41.out;0.004596
run_36.out;0.004594
run_58.out;0.004606
run_31.out;0.005223
run_1.out;0.004296
run_6.out;0.004604
run_3.out;0.005219
run_32.out;0.005236
run_45.out;0.004599
run_60.out;0.004614
run_49.out;0.004615
run_92.out;0.00461
run_39.out;0.005193
run_61.out;0.00466
run_30.out;0.004625
run_0.out;0.004892
run_63.out;0.005206
run_29.out;0.005231
run_82.out;0.004619
run_38.out;0.004631
run_14.out;0.005546
run_44.out;0.005179
run_52.out;0.004609
run_26.out;0.004622
run_23.out;0.005214
run_24.out;0.005216
run_88.out;0.005221
run_81.out;0.004646
run_68.out;0.004641
run_11.out;0.005226
run_27.out;0.005243
run_8.out;0.005225
run_77.out;0.005245
run_62.out;0.00472
run_75.out;0.00464
run_95.out;0.004597
run_10.out;0.005218
run_89.out;0.00462
run_40.out;0.005221
run_55.out;0.005214
run_13.out;0.005219
run_56.out;0.00463
run_34.out;0.00524
run_73.out;0.004636
run_93.out;0.004637
run_84.out;0.005226
run_51.out;0.005238
run_74.out;0.004616
run_9.out;0.005227
run_33.out;0.00462
run_19.out;0.00521
run_7.out;0.004656
run_35.out;0.004624
run_83.out;0.005215
run_15.out;0.004596
run_80.out;0.004617
run_53.out;0.0052
run_48.out;0.00521
run_71.out;0.00522
run_69.out;0.004563
run_43.out;0.005213
run_2.out;0.00491
run_28.out;0.005246
run_70.out;0.004653
run_42.out;0.00522
run_94.out;0.005234
run_64.out;0.004666
run_59.out;0.004619
run_17.out;0.00463
run_5.out;0.004607
run_46.out;0.005213
run_97.out;0.005244
