File;Computation Value
run_67.out;0.03485
run_4.out;0.034862
run_12.out;0.034828
run_20.out;0.034816
run_25.out;0.034815
run_50.out;0.034895
run_78.out;0.034737
run_85.out;0.034803
run_79.out;0.034881
run_66.out;0.034796
run_21.out;0.034836
run_86.out;0.034818
run_87.out;0.034885
run_91.out;0.034803
run_16.out;0.034863
run_90.out;0.038599
run_22.out;0.034803
run_37.out;0.034817
run_18.out;0.03869
run_65.out;0.034879
run_76.out;0.034704
run_54.out;0.034864
run_72.out;0.038614
run_99.out;0.03488
run_47.out;0.038609
run_57.out;0.034854
run_96.out;0.03846
run_98.out;0.038698
run_41.out;0.03491
run_36.out;0.03485
run_58.out;0.034815
run_31.out;0.034733
run_1.out;0.034826
run_6.out;0.03862
run_3.out;0.034471
run_32.out;0.034797
run_45.out;0.03456
run_60.out;0.038659
run_49.out;0.034765
run_92.out;0.034821
run_39.out;0.034864
run_61.out;0.038697
run_30.out;0.03482
run_0.out;0.034207
run_63.out;0.038676
run_29.out;0.034854
run_82.out;0.034874
run_38.out;0.034812
run_14.out;0.034826
run_44.out;0.037972
run_52.out;0.034855
run_26.out;0.03444
run_23.out;0.038581
run_24.out;0.034673
run_88.out;0.038482
run_81.out;0.034838
run_68.out;0.034891
run_11.out;0.038621
run_27.out;0.034619
run_8.out;0.034865
run_77.out;0.038535
run_62.out;0.038612
run_75.out;0.03422
run_95.out;0.034861
run_10.out;0.034746
run_89.out;0.038335
run_40.out;0.03847
run_55.out;0.038606
run_13.out;0.034909
run_56.out;0.034766
run_34.out;0.039261
run_73.out;0.034792
run_93.out;0.034829
run_84.out;0.03491
run_51.out;0.03487
run_74.out;0.034905
run_9.out;0.038458
run_33.out;0.038498
run_19.out;0.034801
run_7.out;0.03481
run_35.out;0.034819
run_83.out;0.038664
run_15.out;0.034697
run_80.out;0.034871
run_53.out;0.034732
run_48.out;0.034839
run_71.out;0.034806
run_69.out;0.0347
run_43.out;0.034848
run_2.out;0.034877
run_28.out;0.038436
run_70.out;0.034802
run_42.out;0.034571
run_94.out;0.038589
run_64.out;0.038401
run_59.out;0.034877
run_17.out;0.038692
run_5.out;0.038542
run_46.out;0.034831
run_97.out;0.038689
