;input2D3;input4D;input8D;input16D;input32D;input64D
1;10.968887;19.046428;41.734594;42.492472;68.339156;15.53194
2;0.414872;0.630557;1.371751;1.9602;5.168896;8.369405
4;0.349429;0.630518;1.372542;1.961169;5.195273;8.416561
8;0.352549;0.636656;1.380301;1.971518;5.195562;8.422467
16;0.351662;0.633921;1.379594;1.974441;5.192765;8.450631
32;0.180249;0.324021;0.707148;1.029258;3.677387;6.366199
64;0.179511;0.07827;0.380219;1.047864;4.626367;8.077565
128;0.031862;0.062046;0.342847;1.035989;4.624181;8.078512
256;0.032321;0.062195;0.343102;1.045587;4.625518;8.08163
512;0.031926;0.063895;0.348176;1.038448;4.62623;8.078872
1024;0.032501;0.06213;0.346273;1.042254;4.626909;8.080344
