File;Computation Value
run_67.out;1.394538
run_4.out;1.392547
run_12.out;1.393009
run_20.out;1.392597
run_25.out;1.392928
run_50.out;1.392895
run_78.out;1.392499
run_85.out;1.392643
run_79.out;1.392758
run_66.out;1.392755
run_21.out;1.39233
run_86.out;1.392544
run_87.out;1.392851
run_91.out;1.392593
run_16.out;1.392528
run_90.out;1.393802
run_22.out;1.392522
run_37.out;1.392893
run_18.out;1.39263
run_65.out;1.393065
run_76.out;1.392625
run_54.out;1.3936
run_72.out;1.392738
run_99.out;1.392486
run_47.out;1.39269
run_57.out;1.392945
run_96.out;1.39317
run_98.out;1.392597
run_41.out;1.392972
run_36.out;1.393796
run_58.out;1.392421
run_31.out;1.39264
run_1.out;1.392915
run_6.out;1.392742
run_3.out;1.392627
run_32.out;1.392969
run_45.out;1.392763
run_60.out;1.39266
run_49.out;1.39249
run_92.out;1.3927
run_39.out;1.392569
run_61.out;1.392736
run_30.out;1.392648
run_0.out;1.392592
run_63.out;1.392658
run_29.out;1.392836
run_82.out;1.392845
run_38.out;1.39429
run_14.out;1.393031
run_44.out;1.392475
run_52.out;1.398513
run_26.out;1.393686
run_23.out;1.392547
run_24.out;1.393204
run_88.out;1.392749
run_81.out;1.392848
run_68.out;2.045362
run_11.out;1.392866
run_27.out;1.392564
run_8.out;1.392636
run_77.out;1.392529
run_62.out;1.392582
run_75.out;1.392768
run_95.out;1.393752
run_10.out;1.392572
run_89.out;1.392565
run_40.out;1.392659
run_55.out;1.392834
run_13.out;1.392615
run_56.out;1.392739
run_34.out;1.392439
run_73.out;1.392681
run_93.out;1.392355
run_84.out;1.392552
run_51.out;1.392455
run_74.out;1.392472
run_9.out;1.392796
run_33.out;1.392662
run_19.out;1.39267
run_7.out;1.39263
run_35.out;1.39358
run_83.out;1.392568
run_15.out;1.39259
run_80.out;1.392402
run_53.out;1.392562
run_48.out;1.393909
run_71.out;1.392802
run_69.out;1.392703
run_43.out;1.392627
run_2.out;1.392662
run_28.out;1.392918
run_70.out;1.393234
run_42.out;1.39256
run_94.out;1.392551
run_64.out;1.393337
run_59.out;1.393387
run_17.out;1.392518
run_5.out;1.392475
run_46.out;1.39253
run_97.out;1.392654
