File,Computation Value
run_67.out,5.585766
run_4.out,5.585907
run_12.out,5.58557
run_20.out,5.583397
run_25.out,5.585609
run_50.out,5.584027
run_78.out,5.588317
run_85.out,5.584637
run_79.out,5.586572
run_66.out,5.584931
run_21.out,5.583672
run_86.out,5.587089
run_87.out,5.585176
run_91.out,5.583187
run_16.out,5.584117
run_90.out,5.590211
run_22.out,5.583501
run_37.out,5.584422
run_18.out,5.586812
run_65.out,5.583568
run_76.out,5.583607
run_54.out,5.58561
run_72.out,5.587702
run_99.out,5.584635
run_47.out,5.585657
run_57.out,5.583693
run_96.out,5.586109
run_98.out,5.584444
run_41.out,5.583307
run_36.out,5.584398
run_58.out,5.587463
run_31.out,5.583963
run_1.out,5.583431
run_6.out,5.587463
run_3.out,5.584339
run_32.out,5.584585
run_45.out,5.585552
run_60.out,5.583712
run_49.out,5.584483
run_92.out,5.58466
run_39.out,5.583958
run_61.out,5.583655
run_30.out,5.583116
run_0.out,5.583492
run_63.out,5.583985
run_29.out,5.584025
run_82.out,5.583803
run_38.out,5.585241
run_14.out,5.584098
run_44.out,5.583288
run_52.out,5.584942
run_26.out,5.584365
run_23.out,5.585173
run_24.out,5.590195
run_88.out,5.58431
run_81.out,5.583866
run_68.out,5.583845
run_11.out,5.584336
run_27.out,5.582836
run_8.out,5.58411
run_77.out,5.584587
run_62.out,5.584294
run_75.out,5.584248
run_95.out,5.584624
run_10.out,5.583367
run_89.out,5.590301
run_40.out,5.587093
run_55.out,5.58432
run_13.out,5.584143
run_56.out,5.583968
run_34.out,5.584134
run_73.out,5.583593
run_93.out,5.583485
run_84.out,5.583257
run_51.out,5.584287
run_74.out,5.584762
run_9.out,5.582885
run_33.out,5.583685
run_19.out,5.583492
run_7.out,5.583695
run_35.out,5.717714
run_83.out,5.583475
run_15.out,5.58376
run_80.out,5.58655
run_53.out,5.58403
run_48.out,5.583803
run_71.out,5.585235
run_69.out,5.585816
run_43.out,5.583731
run_2.out,5.588359
run_28.out,5.584537
run_70.out,5.583661
run_42.out,5.583217
run_94.out,5.58423
run_64.out,5.584003
run_59.out,5.584833
run_17.out,5.584064
run_5.out,5.584768
run_46.out,5.585474
run_97.out,5.583565
