File;Computation Value
run_67.out;0.06876
run_4.out;0.054226
run_12.out;0.039581
run_20.out;0.069751
run_25.out;0.053482
run_50.out;0.054881
run_78.out;0.046972
run_85.out;0.042916
run_79.out;0.041883
run_66.out;0.053134
run_21.out;0.072843
run_86.out;0.053391
run_87.out;0.070831
run_91.out;0.043093
run_16.out;0.05966
run_90.out;0.058571
run_22.out;0.063076
run_37.out;0.058233
run_18.out;0.04403
run_65.out;0.064383
run_76.out;0.062767
run_54.out;0.051719
run_72.out;0.069684
run_99.out;0.062463
run_47.out;0.063605
run_57.out;0.04903
run_96.out;0.051531
run_98.out;0.045533
run_41.out;0.051997
run_36.out;0.081334
run_58.out;0.120282
run_31.out;0.051898
run_1.out;0.054357
run_6.out;0.046659
run_3.out;0.062954
run_32.out;0.052826
run_45.out;0.039334
run_60.out;0.050724
run_49.out;0.050516
run_92.out;0.046776
run_39.out;0.058756
run_61.out;0.038985
run_30.out;0.042852
run_0.out;0.048899
run_63.out;0.078043
run_29.out;0.050675
run_82.out;0.045945
run_38.out;0.045257
run_14.out;0.061578
run_44.out;0.054586
run_52.out;0.056338
run_26.out;0.056296
run_23.out;0.061201
run_24.out;0.047847
run_88.out;0.038287
run_81.out;0.063067
run_68.out;0.049319
run_11.out;0.041201
run_27.out;0.053379
run_8.out;0.050473
run_77.out;0.07751
run_62.out;0.059242
run_75.out;0.052989
run_95.out;0.061198
run_10.out;0.049947
run_89.out;0.076016
run_40.out;0.043253
run_55.out;0.039687
run_13.out;0.047074
run_56.out;0.052838
run_34.out;0.079278
run_73.out;0.039913
run_93.out;0.051583
run_84.out;0.047702
run_51.out;0.064239
run_74.out;0.068753
run_9.out;0.05518
run_33.out;0.040102
run_19.out;0.071363
run_7.out;0.059091
run_35.out;0.05512
run_83.out;0.063826
run_15.out;0.059251
run_80.out;0.050963
run_53.out;0.05
run_48.out;0.057806
run_71.out;0.054188
run_69.out;0.072237
run_43.out;0.04935
run_2.out;0.062707
run_28.out;0.072692
run_70.out;0.039467
run_42.out;0.048608
run_94.out;0.052924
run_64.out;0.039408
run_59.out;0.076015
run_17.out;0.051979
run_5.out;0.062063
run_46.out;0.069727
run_97.out;0.086261
