File;Computation Value
run_67.out;0.527598
run_4.out;0.43753
run_12.out;0.236562
run_20.out;0.541007
run_25.out;0.258197
run_50.out;0.487832
run_78.out;0.247398
run_85.out;0.249267
run_79.out;0.240487
run_66.out;0.23731
run_21.out;0.435711
run_86.out;0.412211
run_87.out;0.237697
run_91.out;0.403653
run_16.out;0.260727
run_90.out;0.263313
run_22.out;0.25223
run_37.out;0.24643
run_18.out;0.249374
run_65.out;0.252918
run_76.out;0.248846
run_54.out;0.248916
run_72.out;0.250045
run_99.out;0.257994
run_47.out;0.493651
run_57.out;0.507763
run_96.out;0.237753
run_98.out;0.512963
run_41.out;0.245682
run_36.out;0.2429
run_58.out;0.477705
run_31.out;0.235375
run_1.out;0.280122
run_6.out;0.242179
run_3.out;0.561328
run_32.out;0.255686
run_45.out;0.261436
run_60.out;0.23978
run_49.out;0.25197
run_92.out;0.260439
run_39.out;0.333868
run_61.out;0.236402
run_30.out;0.241705
run_0.out;0.2362
run_63.out;0.539241
run_29.out;0.547622
run_82.out;0.253004
run_38.out;0.428297
run_14.out;0.226065
run_44.out;0.255224
run_52.out;0.24519
run_26.out;0.267684
run_23.out;0.240652
run_24.out;0.52188
run_88.out;0.245357
run_81.out;0.256323
run_68.out;0.247618
run_11.out;0.241
run_27.out;0.410841
run_8.out;0.240589
run_77.out;0.520591
run_62.out;0.498866
run_75.out;0.250781
run_95.out;0.252387
run_10.out;0.526227
run_89.out;0.256834
run_40.out;0.506794
run_55.out;0.25196
run_13.out;0.235447
run_56.out;0.499224
run_34.out;0.500681
run_73.out;0.23944
run_93.out;0.511466
run_84.out;0.55512
run_51.out;0.239824
run_74.out;0.492613
run_9.out;0.255102
run_33.out;0.246449
run_19.out;0.424846
run_7.out;0.550046
run_35.out;0.25183
run_83.out;0.242422
run_15.out;0.242102
run_80.out;0.497254
run_53.out;0.237316
run_48.out;0.255397
run_71.out;0.241165
run_69.out;0.533863
run_43.out;0.233194
run_2.out;0.239562
run_28.out;0.237572
run_70.out;0.543885
run_42.out;0.237341
run_94.out;0.246436
run_64.out;0.48372
run_59.out;0.241115
run_17.out;0.427407
run_5.out;0.242757
run_46.out;0.521929
run_97.out;0.244209
