File,Computation Value
run_67.out,0.169351
run_4.out,0.074525
run_12.out,0.102042
run_20.out,0.104659
run_25.out,0.112556
run_50.out,0.079863
run_78.out,0.164576
run_85.out,0.152385
run_79.out,0.103144
run_66.out,0.154944
run_21.out,0.122147
run_86.out,0.13133
run_87.out,0.070723
run_91.out,0.085488
run_16.out,0.109881
run_90.out,0.154367
run_22.out,0.167315
run_37.out,0.164072
run_18.out,0.092482
run_65.out,0.064664
run_76.out,0.11259
run_54.out,0.169387
run_72.out,0.079492
run_99.out,0.062187
run_47.out,0.105717
run_57.out,0.121977
run_96.out,0.097413
run_98.out,0.167679
run_41.out,0.127519
run_36.out,0.127895
run_58.out,0.111097
run_31.out,0.061593
run_1.out,0.088506
run_6.out,0.10586
run_3.out,0.130565
run_32.out,0.158124
run_45.out,0.163519
run_60.out,0.092899
run_49.out,0.119737
run_92.out,0.0996
run_39.out,0.107448
run_61.out,0.110862
run_30.out,0.085965
run_0.out,0.085395
run_63.out,0.114292
run_29.out,0.164572
run_82.out,0.158315
run_38.out,0.113154
run_14.out,0.07432
run_44.out,0.089916
run_52.out,0.088551
run_26.out,0.069706
run_23.out,0.099048
run_24.out,0.114582
run_88.out,0.129343
run_81.out,0.118719
run_68.out,0.112806
run_11.out,0.088017
run_27.out,0.085032
run_8.out,0.082028
run_77.out,0.115005
run_62.out,0.095061
run_75.out,0.081418
run_95.out,0.113287
run_10.out,0.128139
run_89.out,0.151541
run_40.out,0.098277
run_55.out,0.095667
run_13.out,0.128924
run_56.out,0.063442
run_34.out,0.062688
run_73.out,0.082092
run_93.out,0.181392
run_84.out,0.109656
run_51.out,0.111423
run_74.out,0.149469
run_9.out,0.146363
run_33.out,0.139488
run_19.out,0.103165
run_7.out,0.130407
run_35.out,0.117173
run_83.out,0.131988
run_15.out,0.114229
run_80.out,0.073569
run_53.out,0.129432
run_48.out,0.143809
run_71.out,0.104859
run_69.out,0.08256
run_43.out,0.101073
run_2.out,0.118952
run_28.out,0.180253
run_70.out,0.065445
run_42.out,0.133096
run_94.out,0.141808
run_64.out,0.070687
run_59.out,0.097434
run_17.out,0.106222
run_5.out,0.062016
run_46.out,0.101225
run_97.out,0.11573
