File;Computation Value
run_67.out;0.282307
run_4.out;0.261228
run_12.out;0.258595
run_20.out;0.244227
run_25.out;0.262414
run_50.out;0.241913
run_78.out;0.272196
run_85.out;0.268973
run_79.out;0.274945
run_66.out;0.268202
run_21.out;0.360469
run_86.out;0.307837
run_87.out;0.28981
run_91.out;0.281849
run_16.out;0.32789
run_90.out;0.29691
run_22.out;0.310394
run_37.out;0.27547
run_18.out;0.292211
run_65.out;0.296149
run_76.out;0.26644
run_54.out;0.299959
run_72.out;0.319372
run_99.out;0.314887
run_47.out;0.254266
run_57.out;0.274488
run_96.out;0.258744
run_98.out;0.301796
run_41.out;0.253379
run_36.out;0.291982
run_58.out;0.41661
run_31.out;0.232393
run_1.out;0.284779
run_6.out;0.260775
run_3.out;0.26911
run_32.out;0.326412
run_45.out;0.314918
run_60.out;0.253365
run_49.out;0.264083
run_92.out;0.277418
run_39.out;0.268504
run_61.out;0.354203
run_30.out;0.25887
run_0.out;0.302945
run_63.out;0.271423
run_29.out;0.27129
run_82.out;0.244636
run_38.out;0.260952
run_14.out;0.254344
run_44.out;0.241772
run_52.out;0.304036
run_26.out;0.309674
run_23.out;0.307779
run_24.out;0.267515
run_88.out;0.264054
run_81.out;0.266618
run_68.out;0.225063
run_11.out;0.264522
run_27.out;0.240099
run_8.out;0.280528
run_77.out;0.268188
run_62.out;0.257488
run_75.out;0.290687
run_95.out;0.251312
run_10.out;0.246567
run_89.out;0.294622
run_40.out;0.260993
run_55.out;0.325226
run_13.out;0.264458
run_56.out;0.337039
run_34.out;0.296092
run_73.out;0.265727
run_93.out;0.257449
run_84.out;0.307325
run_51.out;0.240093
run_74.out;0.272401
run_9.out;0.299435
run_33.out;0.255715
run_19.out;0.259025
run_7.out;0.285198
run_35.out;0.336143
run_83.out;0.267821
run_15.out;0.261645
run_80.out;0.279525
run_53.out;0.260342
run_48.out;0.258561
run_71.out;0.250833
run_69.out;0.26019
run_43.out;0.296591
run_2.out;0.280983
run_28.out;0.311678
run_70.out;0.332917
run_42.out;0.26213
run_94.out;0.306913
run_64.out;0.261153
run_59.out;0.323131
run_17.out;0.287376
run_5.out;0.276101
run_46.out;0.265736
run_97.out;0.322844
