File,Computation Value
run_67.out,0.641791
run_50.out,0.642405
run_78.out,0.641618
run_85.out,0.646631
run_79.out,0.644035
run_66.out,0.642042
run_86.out,0.641834
run_87.out,0.641774
run_91.out,0.641969
run_90.out,0.641861
run_65.out,0.641938
run_76.out,0.643075
run_54.out,0.641848
run_72.out,0.641926
run_99.out,0.641707
run_57.out,0.64203
run_96.out,0.642113
run_98.out,0.641746
run_58.out,0.642084
run_60.out,0.642057
run_92.out,0.642295
run_61.out,0.644705
run_63.out,0.643312
run_82.out,0.64196
run_52.out,0.643477
run_88.out,0.641654
run_81.out,0.641858
run_68.out,0.643116
run_77.out,0.645632
run_62.out,0.641727
run_75.out,0.64181
run_95.out,0.641773
run_89.out,0.64185
run_55.out,0.643349
run_56.out,0.641812
run_73.out,0.641996
run_93.out,0.646157
run_84.out,0.643347
run_51.out,0.641623
run_74.out,0.641942
run_83.out,0.641775
run_80.out,0.641705
run_53.out,0.645244
run_71.out,0.644236
run_69.out,0.646106
run_70.out,0.641808
run_94.out,0.641912
run_64.out,0.641853
run_59.out,0.641818
run_97.out,0.641926
