File,Computation Value
run_67.out,0.764914
run_4.out,0.765054
run_12.out,0.765013
run_20.out,0.765086
run_25.out,0.766404
run_50.out,0.782916
run_78.out,0.765013
run_85.out,0.766611
run_79.out,0.765064
run_66.out,0.765335
run_21.out,0.765188
run_86.out,0.765091
run_87.out,0.767007
run_91.out,0.765044
run_16.out,0.764938
run_90.out,0.765133
run_22.out,0.765501
run_37.out,0.765749
run_18.out,0.765191
run_65.out,0.765183
run_76.out,0.768491
run_54.out,0.765192
run_72.out,0.765875
run_99.out,0.76515
run_47.out,0.765143
run_57.out,0.765042
run_96.out,0.765479
run_98.out,0.764991
run_41.out,0.765166
run_36.out,0.765112
run_58.out,0.765472
run_31.out,0.765835
run_1.out,0.765119
run_6.out,0.76502
run_3.out,0.765032
run_32.out,0.76528
run_45.out,0.764924
run_60.out,0.766089
run_49.out,0.765198
run_92.out,0.764966
run_39.out,0.765112
run_61.out,0.76612
run_30.out,0.765281
run_0.out,0.764901
run_63.out,0.764967
run_29.out,0.766041
run_82.out,0.765015
run_38.out,0.765154
run_14.out,0.764923
run_44.out,0.766252
run_52.out,0.765028
run_26.out,0.764879
run_23.out,0.764994
run_24.out,0.765112
run_88.out,0.766117
run_81.out,0.766236
run_68.out,0.76613
run_11.out,0.765033
run_27.out,0.765681
run_8.out,0.765662
run_77.out,0.765087
run_62.out,0.765159
run_75.out,0.765308
run_95.out,0.765019
run_10.out,0.765143
run_89.out,0.765231
run_40.out,0.764955
run_55.out,0.765074
run_13.out,0.76513
run_56.out,0.765161
run_34.out,0.765825
run_73.out,0.765149
run_93.out,0.765089
run_84.out,0.76502
run_51.out,0.765754
run_74.out,0.765062
run_9.out,0.765326
run_33.out,0.764958
run_19.out,0.765214
run_7.out,0.764935
run_35.out,0.76533
run_83.out,0.765231
run_15.out,0.765834
run_80.out,0.766466
run_53.out,0.764958
run_48.out,0.766075
run_71.out,0.765214
run_69.out,0.765095
run_43.out,0.764914
run_2.out,0.765228
run_28.out,0.765108
run_70.out,0.764993
run_42.out,0.76498
run_94.out,0.765236
run_64.out,0.76533
run_59.out,0.765011
run_17.out,0.764993
run_5.out,0.765188
run_46.out,0.765256
run_97.out,0.765165
