File;Computation Value
run_67.out;0.292561
run_4.out;0.292511
run_12.out;0.292663
run_20.out;0.292465
run_25.out;0.292611
run_50.out;0.292991
run_78.out;0.292562
run_85.out;0.292677
run_79.out;0.292494
run_66.out;0.292626
run_21.out;0.292477
run_86.out;0.293892
run_87.out;0.292629
run_91.out;0.292561
run_16.out;0.29258
run_90.out;0.292568
run_22.out;0.292613
run_37.out;0.292732
run_18.out;0.292645
run_65.out;0.292467
run_76.out;0.29255
run_54.out;0.29259
run_72.out;0.292511
run_99.out;0.293646
run_47.out;0.293207
run_57.out;0.292547
run_96.out;0.292853
run_98.out;0.292564
run_41.out;0.292599
run_36.out;0.292629
run_58.out;0.292642
run_31.out;0.293898
run_1.out;0.292518
run_6.out;0.29253
run_3.out;0.29257
run_32.out;0.292549
run_45.out;0.292579
run_60.out;0.292578
run_49.out;0.293662
run_92.out;0.29267
run_39.out;0.292517
run_61.out;0.292642
run_30.out;0.292646
run_0.out;0.292514
run_63.out;0.292537
run_29.out;0.294084
run_82.out;0.294491
run_38.out;0.292626
run_14.out;0.292808
run_44.out;0.292539
run_52.out;0.293368
run_26.out;0.292658
run_23.out;0.293527
run_24.out;0.293688
run_88.out;0.292576
run_81.out;0.292643
run_68.out;0.292753
run_11.out;0.29353
run_27.out;0.292674
run_8.out;0.292605
run_77.out;0.293519
run_62.out;0.292652
run_75.out;0.292579
run_95.out;0.292632
run_10.out;0.292543
run_89.out;0.292673
run_40.out;0.292582
run_55.out;0.293384
run_13.out;0.292627
run_56.out;0.292474
run_34.out;0.29258
run_73.out;0.292602
run_93.out;0.292644
run_84.out;0.292556
run_51.out;0.29263
run_74.out;0.293423
run_9.out;0.293648
run_33.out;0.292796
run_19.out;0.292809
run_7.out;0.292514
run_35.out;0.292832
run_83.out;0.292691
run_15.out;0.292596
run_80.out;0.294193
run_53.out;0.292618
run_48.out;0.293201
run_71.out;0.295265
run_69.out;0.292522
run_43.out;0.292629
run_2.out;0.29266
run_28.out;0.292469
run_70.out;0.292487
run_42.out;0.292716
run_94.out;0.292577
run_64.out;0.29377
run_59.out;0.293136
run_17.out;0.292712
run_5.out;0.292602
run_46.out;0.292626
run_97.out;0.292515
