File;Computation Value
run_67.out;1.003164
run_4.out;1.003281
run_12.out;1.018225
run_20.out;1.003232
run_25.out;1.010029
run_50.out;1.005334
run_78.out;1.00875
run_85.out;1.010298
run_79.out;1.003618
run_66.out;1.003636
run_21.out;1.003136
run_86.out;1.003267
run_87.out;1.003179
run_91.out;1.003025
run_16.out;1.016534
run_90.out;1.018247
run_22.out;1.003622
run_37.out;1.003348
run_18.out;1.018087
run_65.out;1.003629
run_76.out;1.003281
run_54.out;1.019201
run_72.out;1.00357
run_99.out;1.00453
run_47.out;1.0034
run_57.out;1.003997
run_96.out;1.003683
run_98.out;1.019317
run_41.out;1.00343
run_36.out;1.003849
run_58.out;1.016816
run_31.out;1.017501
run_1.out;1.003261
run_6.out;1.00497
run_3.out;1.005026
run_32.out;1.003344
run_45.out;1.003507
run_60.out;1.004858
run_49.out;1.003439
run_92.out;1.003318
run_39.out;1.018586
run_61.out;1.003709
run_30.out;1.004277
run_0.out;1.003594
run_63.out;1.00664
run_29.out;1.017061
run_82.out;1.003695
run_38.out;1.003208
run_14.out;1.003031
run_44.out;1.003504
run_52.out;1.01722
run_26.out;1.026011
run_23.out;1.003154
run_24.out;1.004726
run_88.out;1.003905
run_81.out;1.003837
run_68.out;1.004167
run_11.out;1.003184
run_27.out;1.004663
run_8.out;1.004595
run_77.out;1.003917
run_62.out;1.003617
run_75.out;1.004987
run_95.out;1.003642
run_10.out;1.003454
run_89.out;1.00526
run_40.out;1.003538
run_55.out;1.003614
run_13.out;1.004881
run_56.out;1.003965
run_34.out;1.004922
run_73.out;1.003571
run_93.out;1.006068
run_84.out;1.003125
run_51.out;1.003192
run_74.out;1.003537
run_9.out;1.003646
run_33.out;1.003541
run_19.out;1.003066
run_7.out;1.003449
run_35.out;1.017473
run_83.out;1.004431
run_15.out;1.003644
run_80.out;1.003546
run_53.out;1.01293
run_48.out;1.003628
run_71.out;1.017849
run_69.out;1.003193
run_43.out;1.003586
run_2.out;1.01059
run_28.out;1.003214
run_70.out;1.003447
run_42.out;1.006233
run_94.out;1.003089
run_64.out;1.016666
run_59.out;1.018699
run_17.out;1.004716
run_5.out;1.018164
run_46.out;1.003203
run_97.out;1.003458
