File;Computation Value
run_67.out;8.700509
run_4.out;8.701804
run_12.out;8.703906
run_20.out;8.714634
run_25.out;8.701739
run_50.out;8.700809
run_78.out;8.699935
run_85.out;8.710973
run_79.out;8.700516
run_66.out;8.700556
run_21.out;8.700004
run_86.out;8.700474
run_87.out;8.700596
run_91.out;8.74567
run_16.out;8.712439
run_90.out;8.703559
run_22.out;8.700466
run_37.out;8.701692
run_18.out;8.700347
run_65.out;8.700318
run_76.out;8.700839
run_54.out;8.709218
run_72.out;8.7073
run_99.out;8.703523
run_47.out;8.700205
run_57.out;8.701819
run_96.out;8.700004
run_98.out;8.701803
run_41.out;8.706184
run_36.out;8.70158
run_58.out;8.70575
run_31.out;8.703014
run_1.out;8.80205
run_6.out;8.705084
run_3.out;8.71493
run_32.out;8.700181
run_45.out;8.700849
run_60.out;8.700746
run_49.out;8.713842
run_92.out;8.700095
run_39.out;8.709138
run_61.out;8.699603
run_30.out;8.712845
run_0.out;8.705324
run_63.out;8.800581
run_29.out;8.746712
run_82.out;8.699868
run_38.out;8.800686
run_14.out;8.701637
run_44.out;8.700126
run_52.out;8.700854
run_26.out;8.700247
run_23.out;8.703364
run_24.out;8.715109
run_88.out;8.700041
run_81.out;8.70251
run_68.out;8.701003
run_11.out;8.800883
run_27.out;8.702819
run_8.out;8.700087
run_77.out;8.706864
run_62.out;8.700919
run_75.out;8.749726
run_95.out;8.800014
run_10.out;8.703467
run_89.out;8.701437
run_40.out;8.703264
run_55.out;8.800064
run_13.out;8.701003
run_56.out;8.711726
run_34.out;8.700764
run_73.out;8.705351
run_93.out;8.701497
run_84.out;8.699822
run_51.out;8.743541
run_74.out;8.703812
run_9.out;8.701085
run_33.out;8.715322
run_19.out;8.700715
run_7.out;8.802754
run_35.out;8.700452
run_83.out;8.800817
run_15.out;8.745432
run_80.out;8.699865
run_53.out;8.700745
run_48.out;8.699877
run_71.out;8.80139
run_69.out;8.700403
run_43.out;8.799527
run_2.out;8.700771
run_28.out;8.700081
run_70.out;8.713974
run_42.out;8.715789
run_94.out;8.700805
run_64.out;8.713792
run_59.out;8.801902
run_17.out;8.706397
run_5.out;8.700824
run_46.out;8.701014
run_97.out;8.715294
