File;Computation Value
run_67.out;12.673043
run_4.out;12.673796
run_12.out;12.676095
run_20.out;12.675766
run_25.out;12.673201
run_50.out;12.67625
run_78.out;12.67202
run_85.out;12.675449
run_79.out;12.678917
run_66.out;12.671779
run_21.out;12.674608
run_86.out;12.678455
run_87.out;12.673814
run_91.out;12.674611
run_16.out;12.670759
run_90.out;12.674214
run_22.out;12.675994
run_37.out;12.67989
run_18.out;12.6739
run_65.out;12.682151
run_76.out;12.671698
run_54.out;12.673315
run_72.out;12.67125
run_99.out;12.682894
run_47.out;12.675356
run_57.out;12.676893
run_96.out;12.674949
run_98.out;12.6788
run_41.out;12.679839
run_36.out;12.671327
run_58.out;12.67724
run_31.out;12.677992
run_1.out;12.677554
run_6.out;12.674173
run_3.out;12.681242
run_32.out;12.67877
run_45.out;12.674619
run_60.out;12.678773
run_49.out;12.67291
run_92.out;12.67831
run_39.out;12.675325
run_61.out;12.677105
run_30.out;12.671207
run_0.out;12.676037
run_63.out;12.676224
run_29.out;12.67467
run_82.out;12.67924
run_38.out;12.67781
run_14.out;12.673221
run_44.out;12.676903
run_52.out;12.674096
run_26.out;12.673045
run_23.out;12.676196
run_24.out;12.678766
run_88.out;12.679236
run_81.out;12.678487
run_68.out;12.675916
run_11.out;12.673424
run_27.out;12.674334
run_8.out;12.676788
run_77.out;12.671675
run_62.out;12.675895
run_75.out;12.675416
run_95.out;12.670595
run_10.out;12.670681
run_89.out;12.672905
run_40.out;12.678082
run_55.out;12.678589
run_13.out;12.676688
run_56.out;12.670877
run_34.out;12.673845
run_73.out;12.673795
run_93.out;12.671609
run_84.out;12.678665
run_51.out;12.673121
run_74.out;12.675304
run_9.out;12.671835
run_33.out;12.671415
run_19.out;12.670834
run_7.out;12.670651
run_35.out;12.671088
run_83.out;12.677437
run_15.out;12.674704
run_80.out;12.671607
run_53.out;12.675877
run_48.out;12.673192
run_71.out;12.676784
run_69.out;12.6745
run_43.out;12.670534
run_2.out;12.676978
run_28.out;12.671304
run_70.out;12.67349
run_42.out;12.676632
run_94.out;12.669907
run_64.out;12.674773
run_59.out;12.672725
run_17.out;12.676557
run_5.out;12.670656
run_46.out;12.679623
run_97.out;12.676429
