Esecuzione,Tempo (secondi),Confronto,Output
1,3.1597,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 1.025144 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.104692 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.023261 seconds"
2,2.9033,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 0.818332 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.069354 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.012679 seconds"
3,2.9607,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 0.864074 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.073481 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.020189 seconds"
4,3.3461,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 0.793557 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.490562 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.056351 seconds"
5,3.4879,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 1.376287 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.056224 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.050475 seconds"
6,3.9819,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 1.405922 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.548731 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.023063 seconds"
7,3.0313,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 0.822943 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.149732 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.051662 seconds"
8,3.7072,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 1.214332 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.446109 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.041549 seconds"
9,3.6532,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 1.397797 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.231939 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.020078 seconds"
10,3.6632,Uguali,"Data file: test_files/input100D2.inp 
	Points: 100000
	Dimensions: 100
	Number of clusters: 1000
	Maximum number of iterations: 3
	Minimum number of changes: 50000 [50% of 100000 points]
	Maximum centroid precision: 0.010000

Memory allocation: 0.853450 seconds

[1] Cluster changes: 100000	Max. centroid distance: 415.588989
[2] Cluster changes: 35056	Max. centroid distance: 145.332596
Computation: 2.759658 seconds

Termination condition:
Minimum number of changes reached: 35056 [50000]

Memory deallocation: 0.046902 seconds"
